id,name,section,enrollmentCode
826406238093,6-А індивідуальне,Українська мова,l3qtn3ds
877927511493,3-А,Екстернат,dswr46re
877849531298,7,,zhea6waj
877577658399,Охремова Ірина,"Інтегрований курс ""Географія - Пізнаємо природу""",kafafwkt
871402899495,01. 1-В клас. Англійська мова,Початкова школа,mwnj6tda
871398631604,"05. 5-Г клас. Здоров'я, безпека та добробут",Середня школа,bhzdplje
871399331050,"05. 5-В клас. Здоров'я, безпека та добробут",Середня школа,mnz3vpf5
871398781345,"05. 5-Б клас. Здоров'я, безпека та добробут",Середня школа,3tdkdx6c
867792325184,11. 11-Б клас. Основи християнської етики (2026-2027),,mmfn6khu
867776443513,11. 11-Б клас. Фізична культура (2026-2027),,66echmxe
867791530436,11. 11-Б клас. Технології (2026-2027),,hgrnvopx
867792512225,11. 11-Б клас. Захист України (2026-2027),,v26dv7qu
867792466333,11. 11-Б клас. Мистецтво (2026-2027),,dlwgwdeh
867791354337,11. 11-Б клас. Хімія (2026-2027),,h2ell2bp
867787422615,11. 11-Б клас. Інформатика (2026-2027),,jsvvnw5i
867786158258,11. 11-Б клас. Фізика і астрономія (2026-2027),,cpzpiy6x
867792390116,11. 11-Б клас. Географія (2026-2027),,4r25e4he
867789515128,11. 11-Б клас. Біологія і екологія (2026-2027),,r6xjggqh
867791538027,11. 11-Б клас. Геометрія (2026-2027),,rhijwxkr
867791303619,11. 11-Б клас. Алгебра і початки аналізу (2026-2027),,nea6iffo
867790497516,11. 11-Б клас. Всесвітня історія (2026-2027),,segca7oh
867792694890,11. 11-Б клас. Історія України (2026-2027),,ec6keuqf
867792329764,11. 11-Б клас. Друга іноземна мова (Німецька) (2026-2027),,tazmc6em
867792218267,11. 11-Б клас. Зарубіжна література (2026-2027),,rsfeepm7
867792397764,11. 11-Б клас. Англійська мова (2026-2027),,gtcsb64g
867791909915,11. 11-Б клас. Українська література (2026-2027),,qrq46gvo
867792025334,11. 11-Б клас. Українська мова (2026-2027),,yuoq6ug6
867787301544,11. 11-А клас. Основи християнської етики (2026-2027),,jkh7w5oy
867791624784,11. 11-А клас. Захист України (2026-2027),,av2me3bz
867792445913,11. 11-А клас. Технології (2026-2027),,xyjmevee
867782037931,11. 11-А клас. Фізична культура (2026-2027),,7omvh6nh
867791302502,11. 11-А клас. Мистецтво (2026-2027),,fmmfi35j
867792998373,11. 11-А клас. Хімія (2026-2027),,jmyi4r6q
867792280805,11. 11-А клас. Інформатика (2026-2027),,hdxr47l3
867792294551,11. 11-А клас. Фізика і астрономія (2026-2027),,h3s3wd7s
798183908153,11. 11-А клас. Географія (2026-2027),,zst54tqz
867792832358,11. 11-А клас. Біологія і екологія (2026-2027),,arulahed
867792707565,11. 11-А клас. Всесвітня історія (2026-2027),,dnmghxgv
867791719550,11. 11-А клас. Історія України (2026-2027),,a6vupuzp
867791520651,11. 11-А клас. Алгебра і початки аналізу (2026-2027),,exib4ak2
