email,id,name,description
admin_school@schoolgus.ukr.education,04du1wux1lg3aid,Адміністрація школи,
class-1-a@schoolgus.ukr.education,048pi1tg3nmdimo,1-А клас,
class-1-b@schoolgus.ukr.education,03ep43zb1jpfx3g,1-Б клас,
class-1-g@schoolgus.ukr.education,02iq8gzs2c229tb,1-Г клас,
class-1-v@schoolgus.ukr.education,03hv69ve44jty01,1-В клас,
class-10-a@schoolgus.ukr.education,0111kx3o1spke98,10-А клас,
class-10-b@schoolgus.ukr.education,04anzqyu42bjl19,10-Б клас,10-Б клас
class-10-g@schoolgus.ukr.education,02fk6b3p2oczibi,10-Г клас,10-Г клас
class-10-v@schoolgus.ukr.education,03vac5uf1f1rblz,10-В клас,10-В клас
class-11-a@schoolgus.ukr.education,01664s550j390er,11-А клас,
class-11-b@schoolgus.ukr.education,02koq6561oxk6jk,11-Б клас,11-Б клас
class-11-g@schoolgus.ukr.education,02lwamvv2zwlfnq,11-Г клас,11-Г клас
class-11-v@schoolgus.ukr.education,00xvir7l0snjwn7,11-В клас,11-В клас
class-2-a@schoolgus.ukr.education,03dy6vkm35bwwa9,2-А клас,
class-2-b@schoolgus.ukr.education,00haapch2egaqbq,2-Б клас,
class-2-g@schoolgus.ukr.education,01ljsd9k0p43nmu,2-Г клас,
class-2-v@schoolgus.ukr.education,01opuj5n1j1c4lk,2-В клас,
class-3-a@schoolgus.ukr.education,01qoc8b12bqef3l,3-А клас,
class-3-b@schoolgus.ukr.education,030j0zll24aa1la,3-Б клас,
class-3-g@schoolgus.ukr.education,00lnxbz90q4vv4t,3-Г клас,
class-3-v@schoolgus.ukr.education,046r0co21qn5ugk,3-В клас,
class-4-a@schoolgus.ukr.education,02dlolyb26lndku,4-А клас,
class-4-b@schoolgus.ukr.education,03oy7u2919r9213,4-Б клас,
class-4-g@schoolgus.ukr.education,00zu0gcz3weezp4,4-Г клас,
class-5-a@schoolgus.ukr.education,00meukdy3tgqhbr,5-А клас,
class-5-b@schoolgus.ukr.education,01tuee743l9win4,5-Б клас,
class-5-v@schoolgus.ukr.education,00nmf14n2vlvcur,5-В клас,
class-6-a@schoolgus.ukr.education,035nkun2302indl,6-А клас,
class-6-b@schoolgus.ukr.education,02s8eyo135e5br3,6-Б клас,
class-6-v@schoolgus.ukr.education,04iylrwe4f2oaod,6-В клас,
class-7-a@schoolgus.ukr.education,03vac5uf3tfbs49,7-А клас,
class-7-b@schoolgus.ukr.education,02nusc192dhy70o,7-Б клас,
class-7-g@schoolgus.ukr.education,01gf8i8343vbj36,7-Г клас,
class-7-v@schoolgus.ukr.education,03bj1y381mwviiy,7-В клас,
class-8-a@schoolgus.ukr.education,030j0zll237430h,8-А клас,
class-8-b@schoolgus.ukr.education,045jfvxd0kwhmno,8-Б клас,
class-8-g@schoolgus.ukr.education,02iq8gzs4hqayiz,8-Г клас,
class-8-v@schoolgus.ukr.education,0184mhaj426d7bk,8-В клас,
class-9-a@schoolgus.ukr.education,00lnxbz93diuasg,9-А клас,
class-9-b@schoolgus.ukr.education,01y810tw0zi4av3,9-Б клас,
class-9-v@schoolgus.ukr.education,01ci93xb1ednibd,9-В клас,
classroom_teachers@schoolgus.ukr.education,03q5sasy3ifg5y2,Клас: викладачі,"До цієї групи входять усі викладачі зі служби Клас у вашому домені. Доки ви не схвалите їх, вони матимуть статус учасників, що очікують на розгляд. Зверніть увагу: усі учасники цієї групи мають додаткові привілеї, які можна визначати на Консолі адміністратора. ПОПЕРЕДЖЕННЯ: не видаляйте цю групу."
externat-10@schoolgus.ukr.education,01rvwp1q2tedev4,Екстернат 10 клас,
externat-11@schoolgus.ukr.education,01664s554j70u44,Екстернат 11 клас,
externat-1@schoolgus.ukr.education,02p2csry3f6fiuy,Екстернат 1 клас,
externat-2@schoolgus.ukr.education,03q5sasy25w8fuf,Екстернат 2 клас,
externat-3@schoolgus.ukr.education,03as4poj29r6lcs,Екстернат 3 клас,
externat-4@schoolgus.ukr.education,02r0uhxc3jnlytx,Екстернат 4 клас,
externat-5@schoolgus.ukr.education,03l18frh1hkcyaz,Екстернат 5 клас,
externat-6@schoolgus.ukr.education,04i7ojhp21p32ag,Екстернат 6 клас,
externat-7@schoolgus.ukr.education,01ksv4uv2wcvciw,Екстернат 7 клас,
externat-8@schoolgus.ukr.education,01opuj5n2761j20,Екстернат 8 клас,
externat-9@schoolgus.ukr.education,03fwokq029bth6w,Екстернат 9 клас,
graduates_2026@schoolgus.ukr.education,02r0uhxc4g2x709,Випускники 2026,
support@schoolgus.ukr.education,01ci93xb1nfuo9a,Системні адміністратори IT,Група системних адміністраторів Google Workspace для розмежування прав та отримання сповіщень техпідтримки.
vchyteli@schoolgus.ukr.education,02grqrue3r4ul0f,Вчителі,
